gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description
Solyc01g102960.3	V.28.75	V.34.75	1.37e-25	1.44e-28	4.308	5.26e-10	7.21e-13	4.352	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	V.28.75	V.34.75	6.9e-17	1.52e-19	2.872	1.18e-17	5.04e-21	2.88	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc01g106210.3	V.28.75	V.34.75	0.0106	5.44e-05	0.991	NA	NA	NA	NA
Solyc01g107080.3	V.28.75	V.34.75	4.23e-10	1.28e-12	4.047	0.000194	4.83e-07	4.131	HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2K3MRI0_TRIPR)
Solyc02g077670.3	V.28.75	V.34.75	2.11e-05	8.8e-08	3.094	0.00265	7.28e-06	3.149	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc02g079930.3	V.28.75	V.34.75	0.0163	8.55e-05	1.026	NA	NA	NA	NA
Solyc02g081550.3	V.28.75	V.34.75	4.06e-09	1.28e-11	4.935	0.00457	1.29e-05	5.168	LeftsH6FtsH protease
Solyc02g088610.4	V.28.75	V.34.75	2.85e-10	8.3e-13	2.682	3.7e-09	6.66e-12	2.693	LeHSP110/ClpB heat shock protein
Solyc03g007890.3	V.28.75	V.34.75	1.12e-26	9.15e-30	3.755	1.02e-10	1.23e-13	3.766	class 2 small heat shock protein Le-HSP17.6
Solyc03g082420.3	V.28.75	V.34.75	1.81e-11	4.62e-14	3.505	2.64e-08	4.97e-11	3.543	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g115230.3	V.28.75	V.34.75	7.04e-26	6.56e-29	3.4	2.85e-10	3.67e-13	3.41	Solanum lycopersicum heat shock protein
Solyc03g117630.1	V.28.75	V.34.75	4.86e-29	3.39e-32	3.892	2.1e-21	3.6e-25	3.909	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g120090.1	V.28.75	V.34.75	1.36e-07	4.76e-10	1.725	4.6e-06	1.06e-08	1.731	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)
Solyc03g123540.3	V.28.75	V.34.75	2.24e-19	4.18e-22	5.906	4.06e-08	8e-11	6.074	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g011440.4	V.28.75	V.34.75	1.68e-21	2.34e-24	3.803	1.95e-09	3.35e-12	3.814	ethylene-responsive heat shock protein cognate 70
Solyc04g064500.4	V.28.75	V.34.75	0.0398	0.000227	-0.368	0.0169	5.66e-05	-0.367	Protein phosphatase 2C (AHRD V3.3 *** Q8S8Z0_MESCR)
Solyc04g072160.3	V.28.75	V.34.75	1.96e-20	3.42e-23	4.436	2.38e-15	1.43e-18	4.469	ripening regulated protein DDTFR8
Solyc05g007895.1	V.28.75	V.34.75	0.000868	3.84e-06	3.075	NA	NA	NA	NA
Solyc05g014280.4	V.28.75	V.34.75	1.35e-08	4.57e-11	5.366	0.00852	2.63e-05	5.684	small heat shock protein 1
Solyc05g052410.3	V.28.75	V.34.75	0.0176	9.4e-05	1.139	NA	NA	NA	NA
Solyc06g036290.3	V.28.75	V.34.75	9.75e-31	2.27e-34	3.394	2.08e-12	2.32e-15	3.4	heat shock protein 90
Solyc06g072430.3	V.28.75	V.34.75	2.66e-18	5.26e-21	3.284	2.79e-07	5.98e-10	3.291	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	V.28.75	V.34.75	4.26e-07	1.54e-09	1.362	0.0371	0.000134	1.367	heat shock protein 70 kD
NA	NA	NA	NA	NA	NA	0.00617	1.8e-05	4.766	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076560.2	V.28.75	V.34.75	6.98e-11	1.87e-13	3.951	1.13e-09	1.75e-12	3.985	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g083190.4	V.28.75	V.34.75	5.46e-09	1.78e-11	3.551	0.00867	2.75e-05	3.579	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH)
Solyc07g048120.3	V.28.75	V.34.75	0.0398	0.000231	0.755	NA	NA	NA	NA
Solyc07g053615.1	V.28.75	V.34.75	0.0178	9.92e-05	1.031	NA	NA	NA	NA
Solyc07g065840.2	V.28.75	V.34.75	0.00384	1.79e-05	0.683	0.00177	4.55e-06	0.685	molecular chaperone Hsp90-2
Solyc08g006980.3	V.28.75	V.34.75	1.18e-20	1.93e-23	3.069	1.71e-13	1.46e-16	3.087	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g062340.3	V.28.75	V.34.75	2.59e-10	7.22e-13	4.107	1e-07	2.06e-10	4.161	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN)
Solyc08g062437.1	V.28.75	V.34.75	2.64e-29	1.23e-32	3.824	1.6e-26	1.37e-30	3.838	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	V.28.75	V.34.75	2.11e-05	8.85e-08	3.943	0.0104	3.4e-05	4.069	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g078700.2	V.28.75	V.34.75	4.86e-29	3.17e-32	3.747	1.19e-12	1.22e-15	3.75	mitochondrial small heat shock protein
Solyc08g079170.3	V.28.75	V.34.75	0.00475	2.27e-05	1.104	NA	NA	NA	NA
Solyc08g079830.4	V.28.75	V.34.75	0.00311	1.41e-05	2.368	NA	NA	NA	NA
Solyc09g005120.3	V.28.75	V.34.75	0.00756	3.78e-05	0.967	0.00678	2.04e-05	0.971	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA)
NA	NA	NA	NA	NA	NA	2.1e-05	5.03e-08	7.354	Gag-asp_proteas domain-containing protein (AHRD V3.3 *-* A0A1Q3CQ35_CEPFO)
Solyc09g075950.1	V.28.75	V.34.75	0.0051	2.49e-05	1.795	NA	NA	NA	NA
Solyc09g092690.3	V.28.75	V.34.75	3.35e-21	5.06e-24	4.229	2.82e-20	7.26e-24	4.25	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g078930.2	V.28.75	V.34.75	2.29e-14	5.6e-17	1.654	3.31e-15	2.27e-18	1.658	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	V.28.75	V.34.75	2.04e-16	4.75e-19	3.715	9.64e-13	9.09e-16	3.74	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc11g020330.1	V.28.75	V.34.75	8.77e-07	3.27e-09	4.05	0.0221	7.59e-05	4.222	leer-sHSP small heat shock protein
Solyc11g066060.3	V.28.75	V.34.75	9.09e-06	3.49e-08	1.105	1.44e-06	3.2e-09	1.109	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	V.28.75	V.34.75	6.41e-25	7.46e-28	2.833	1.13e-09	1.84e-12	2.842	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g066830.2	V.28.75	V.34.75	2.11e-05	8.53e-08	2.473	0.0025	6.64e-06	2.501	Zinc finger transcription factor 68
Solyc11g071830.2	V.28.75	V.34.75	1.01e-33	1.17e-37	4.892	6.05e-16	3.11e-19	4.914	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
NA	NA	NA	NA	NA	NA	0.0498	0.000184	5.614	Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE)
Solyc12g015880.2	V.28.75	V.34.75	7.98e-18	1.67e-20	1.927	1.27e-18	4.37e-22	1.931	Heat shock protein 90-1
Solyc12g043120.2	V.28.75	V.34.75	0.0178	9.78e-05	0.64	NA	NA	NA	NA
Solyc12g056780.2	V.28.75	V.34.75	6.75e-05	2.91e-07	2.714	0.0328	0.000115	2.783	HSP20-like chaperone (AHRD V3.3 *** A0A2U1QD54_ARTAN)
